YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1959,PRIVATE,87,43.634373643,-79.435343202
1959,PRIVATE,86,43.635705894,-79.436502748
1959,PRIVATE,95,43.7579977095,-79.4369177756
1959,PRIVATE,92,43.731860222,-79.437462746
1959,PRIVATE,80,43.7022933387,-79.4396596089
1959,PRIVATE,78,43.7746707581,-79.4407135856
1960,PRIVATE,96,43.756000502,-79.240912837
1960,PRIVATE,97,43.7401259268,-79.2429318294
1960,PRIVATE,84,43.701030915,-79.25119809
1960,PRIVATE,93,43.6922338982,-79.2630193825
1960,PRIVATE,92,43.7335331794,-79.2693313625
1960,PRIVATE,92,43.7105768969,-79.2702122358
1960,PRIVATE,88,43.7107990699,-79.2702992344
1960,PRIVATE,89,43.73995556,-79.270578917
1960,PRIVATE,91,43.7127945342,-79.2713034993
1960,PRIVATE,91,43.7306169901,-79.271727231
1960,PRIVATE,88,43.7318415798,-79.2729961142
1960,PRIVATE,89,43.7316750326,-79.2734533673
1960,PRIVATE,94,43.730088232,-79.274600978
1960,PRIVATE,90,43.7569401059,-79.2882167684
1960,PRIVATE,91,43.695541815,-79.296047547
1960,PRIVATE,63,43.704347801,-79.297293072
1960,PRIVATE,88,43.680371012,-79.299397904
1960,PRIVATE,87,43.7076426726,-79.3016697664
1960,PRIVATE,97,43.7075826149,-79.3019433825
1960,PRIVATE,73,43.707880094,-79.302844655
1960,PRIVATE,75,43.693721495,-79.303248784
1960,PRIVATE,89,43.7309861519,-79.3047834793
1960,PRIVATE,87,43.6737471581,-79.3071214297
1960,PRIVATE,89,43.7420240548,-79.3085552863
1960,PRIVATE,78,43.7475988109,-79.3111844084
1960,PRIVATE,96,43.727010393,-79.3140806139
1960,PRIVATE,88,43.7269110332,-79.3147057039
1960,PRIVATE,95,43.7525195774,-79.3152926734
1960,PRIVATE,87,43.7269029771,-79.3160560854
1960,PRIVATE,86,43.7270536549,-79.3169518381
1960,PRIVATE,93,43.763822497,-79.317441538
1960,PRIVATE,83,43.7266882298,-79.3178088353
1960,PRIVATE,80,43.7279658085,-79.3179887258
1960,PRIVATE,78,43.6728164425,-79.3184832171
1960,PRIVATE,90,43.717046695,-79.33008018
1960,PRIVATE,96,43.7353799948,-79.3409353127
